Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Bookmakers Surveyed
05-Jul-14,16:40,Gold Coast,Collingwood,Metricon Stadium,80,75,,11,14,10,15, 1.91 , 1.88 ,13
05-Jul-14,14:10,GWS Giants,Adelaide,Spotless Stadium,72,140,,9,18,20,20, 3.90 , 1.25 ,14
05-Jul-14,13:45,Richmond,Brisbane,MCG,79,54,,12,7,7,12, 1.10 , 6.57 ,14
04-Jul-14,19:50,North Melbourne,Hawthorn,Etihad Stadium,108,88,,16,12,13,10, 3.89 , 1.25 ,14
29-Jun-14,19:10,Collingwood,Carlton,MCG,91,76,,13,13,11,10, 1.28 , 3.71 ,12
29-Jun-14,13:40,Adelaide,Port Adelaide,Adelaide Oval,99,76,,14,15,10,16, 3.02 , 1.38 ,12
29-Jun-14,13:10,Western Bulldogs,Melbourne,Etihad Stadium,91,85,,14,7,13,7, 1.72 , 2.12 ,12
28-Jun-14,19:40,Brisbane,North Melbourne,Gabba,70,66,,10,10,9,12, 5.26 , 1.15 ,14
28-Jun-14,19:40,Sydney,GWS Giants,SCG,106,60,,15,16,8,12, 1.05 , 9.47 ,14
28-Jun-14,14:40,Fremantle,West Coast,Domain Stadium,88,81,,13,10,11,15, 1.24 , 3.98 ,14
28-Jun-14,14:10,St Kilda,Richmond,Etihad Stadium,73,117,,11,7,18,9, 5.56 , 1.14 ,13
28-Jun-14,13:45,Hawthorn,Gold Coast,University of Tasmania Stadium,116,63,,17,14,10,3, 1.16 , 5.01 ,14
27-Jun-14,19:50,Geelong,Essendon,Etihad Stadium,89,80,,13,11,11,14, 1.36 , 3.09 ,14
22-Jun-14,16:40,Melbourne,North Melbourne,MCG,66,107,,10,6,15,17, 3.56 , 1.29 ,13
22-Jun-14,15:20,St Kilda,West Coast,Etihad Stadium,70,103,,10,10,15,13, 5.77 , 1.13 ,13
22-Jun-14,13:10,GWS Giants,Carlton,Spotless Stadium,100,92,,15,10,14,8, 3.33 , 1.32 ,14
21-Jun-14,19:40,Essendon,Adelaide,Etihad Stadium,101,92,,15,11,14,8, 2.30 , 1.61 ,14
21-Jun-14,17:40,Fremantle,Brisbane,Domain Stadium,105,22,,15,15,3,4, 1.03 , 12.19 ,14
21-Jun-14,16:40,Gold Coast,Geelong,Metricon Stadium,118,78,,17,16,11,12, 2.64 , 1.47 ,14
21-Jun-14,14:10,Hawthorn,Collingwood,MCG,115,86,,17,13,13,8, 1.34 , 3.15 ,14
21-Jun-14,13:15,Port Adelaide,Western Bulldogs,Adelaide Oval,128,56,,19,14,8,8, 1.09 , 6.98 ,14
20-Jun-14,19:50,Richmond,Sydney,MCG,51,62,,7,9,9,8, 4.17 , 1.22 ,12
15-Jun-14,16:40,Essendon,Melbourne,MCG,77,78,,10,17,12,6, 1.43 , 2.87 ,12
15-Jun-14,15:20,Collingwood,Western Bulldogs,Etihad Stadium,98,106,,15,8,16,10, 1.11 , 6.36 ,12
15-Jun-14,13:10,Geelong,St Kilda,Simonds Stadium,133,37,,20,13,5,7, 1.03 , 12.66 ,11
14-Jun-14,19:10,Adelaide,North Melbourne,Adelaide Oval,109,73,,16,13,10,13, 1.85 , 1.93 ,13
14-Jun-14,19:40,Brisbane,GWS Giants,Gabba,80,125,,12,8,19,11, 1.41 , 2.89 ,14
14-Jun-14,14:40,West Coast,Gold Coast,Domain Stadium,103,100,,15,13,15,10, 1.74 , 2.08 ,14
14-Jun-14,14:10,Sydney,Port Adelaide,SCG,98,94,,14,14,13,16, 1.43 , 2.80 ,14
14-Jun-14,13:45,Richmond,Fremantle,MCG,85,105,,12,13,16,9, 3.67 , 1.27 ,14
13-Jun-14,19:50,Carlton,Hawthorn,MCG,90,118,,13,12,18,10, 4.74 , 1.18 ,14
09-Jun-14,15:20,Melbourne,Collingwood,MCG,28,61,,3,10,8,13, 4.64 , 1.19 ,12
08-Jun-14,19:10,North Melbourne,Richmond,Etihad Stadium,116,88,,17,14,13,10, 1.31 , 3.43 ,12
08-Jun-14,14:10,Fremantle,Adelaide,Domain Stadium,90,50,,12,18,7,8, 1.23 , 4.07 ,12
08-Jun-14,15:20,Gold Coast,Sydney,Metricon Stadium,74,109,,10,14,17,7, 4.43 , 1.20 ,12
07-Jun-14,19:40,GWS Giants,Essendon,Spotless Stadium,66,81,,9,12,11,15, 5.78 , 1.13 ,14
07-Jun-14,19:40,Western Bulldogs,Brisbane,Etihad Stadium,87,95,,13,9,14,11, 1.31 , 3.42 ,14
07-Jun-14,16:10,Port Adelaide,St Kilda,Adelaide Oval,129,59,,19,15,9,5, 1.02 , 13.09 ,13
07-Jun-14,13:40,Hawthorn,West Coast,University of Tasmania Stadium,123,79,,19,9,12,7, 1.19 , 4.49 ,14
06-Jun-14,19:50,Geelong,Carlton,Etihad Stadium,107,102,,16,11,15,12, 1.18 , 4.74 ,14
01-Jun-14,17:40,West Coast,North Melbourne,Domain Stadium,44,82,,6,8,12,10, 1.60 , 2.31 ,14
01-Jun-14,16:40,Hawthorn,GWS Giants,MCG,94,87,,14,10,13,9, 1.01 , 16.02 ,14
01-Jun-14,15:20,Western Bulldogs,Fremantle,Etihad Stadium,51,89,,6,15,13,11, 5.28 , 1.15 ,14
01-Jun-14,12:40,Adelaide,Gold Coast,Adelaide Oval,109,77,,16,13,11,11, 1.54 , 2.46 ,12
31-May-14,19:45,Essendon,Richmond,MCG,104,54,,15,14,7,12, 1.68 , 2.16 ,14
31-May-14,16:40,Brisbane,Carlton,Gabba,98,91,,14,14,13,13, 2.86 , 1.41 ,14
31-May-14,13:10,Melbourne,Port Adelaide,Traeger Park,75,95,,11,9,14,11, 6.04 , 1.12 ,12
30-May-14,19:50,St Kilda,Collingwood,Etihad Stadium,54,140,,8,6,21,14, 8.45 , 1.06 ,13
29-May-14,19:10,Sydney,Geelong,SCG,148,38,,22,16,5,8, 1.39 , 3.00 ,12
25-May-14,16:40,Carlton,Adelaide,MCG,81,76,,12,9,10,16, 2.25 , 1.63 ,12
25-May-14,15:20,Gold Coast,Western Bulldogs,Metricon Stadium,119,74,,18,11,10,14, 1.22 , 4.31 ,12
24-May-14,19:10,Port Adelaide,Hawthorn,Adelaide Oval,100,86,,15,10,13,8, 1.53 , 2.46 ,14
24-May-14,16:40,Collingwood,West Coast,MCG,109,101,,17,7,15,11, 1.30 , 3.48 ,14
24-May-14,13:40,GWS Giants,Richmond,Spotless Stadium,41,154,,5,11,24,10, 3.19 , 1.34 ,14
23-May-14,19:50,Geelong,North Melbourne,Simonds Stadium,111,91,,16,15,13,13, 1.54 , 2.46 ,14
18-May-14,16:40,St Kilda,Gold Coast,Etihad Stadium,87,125,,13,9,19,11, 4.03 , 1.24 ,12
17-May-14,17:40,Fremantle,Geelong,Domain Stadium,96,64,,13,18,9,10, 1.79 , 2.00 ,14
17-May-14,16:40,North Melbourne,Brisbane,Etihad Stadium,125,38,,17,23,6,2, 1.06 , 9.34 ,14
17-May-14,13:40,Richmond,Melbourne,MCG,74,91,,9,20,14,7, 1.18 , 4.70 ,14
16-May-14,19:50,Essendon,Sydney,Etihad Stadium,64,114,,9,10,18,6, 3.13 , 1.36 ,14
15-May-14,19:20,Adelaide,Collingwood,Adelaide Oval,76,55,,10,16,7,13, 2.71 , 1.45 ,14
12-May-14,19:20,St Kilda,Carlton,Etihad Stadium,69,101,,9,15,15,11, 3.20 , 1.35 ,11
11-May-14,14:40,West Coast,GWS Giants,Domain Stadium,188,77,,30,8,12,5, 1.06 , 9.29 ,14
10-May-14,19:40,Melbourne,Western Bulldogs,MCG,83,99,,12,11,15,9, 2.73 , 1.44 ,14
10-May-14,16:40,Brisbane,Essendon,Gabba,57,65,,8,9,9,11, 3.91 , 1.25 ,14
10-May-14,13:10,Port Adelaide,Fremantle,Adelaide Oval,94,76,,13,16,11,10, 1.54 , 2.43 ,14
09-May-14,19:50,Sydney,Hawthorn,ANZ Stadium,107,88,,15,17,13,10, 2.16 , 1.68 ,14
04-May-14,14:40,West Coast,Fremantle,Domain Stadium,54,73,,7,12,11,7, 2.81 , 1.42 ,14
04-May-14,15:20,Geelong,Richmond,MCG,81,76,,11,15,12,4, 1.19 , 4.49 ,14
04-May-14,13:10,North Melbourne,Gold Coast,Etihad Stadium,77,120,,11,11,18,12, 1.26 , 3.78 ,14
03-May-14,19:40,Brisbane,Sydney,Gabba,44,123,,6,8,18,15, 4.64 , 1.19 ,14
03-May-14,19:40,Essendon,Western Bulldogs,Etihad Stadium,73,65,,10,13,9,11, 1.31 , 3.45 ,14
03-May-14,16:10,Adelaide,Melbourne,Adelaide Oval,67,70,,9,13,11,4, 1.06 , 8.79 ,14
03-May-14,14:10,GWS Giants,Port Adelaide,Manuka Oval,97,132,,15,7,20,12, 8.46 , 1.07 ,14
03-May-14,13:45,Hawthorn,St Kilda,MCG,175,30,,27,13,4,6, 1.04 , 11.17 ,13
02-May-14,19:50,Carlton,Collingwood,MCG,70,104,,10,10,14,20, 3.95 , 1.25 ,14
27-Apr-14,16:10,Port Adelaide,Geelong,Adelaide Oval,107,67,,16,11,9,13, 2.08 , 1.74 ,12
27-Apr-14,15:20,Richmond,Hawthorn,MCG,52,118,,7,10,18,10, 5.04 , 1.17 ,12
27-Apr-14,13:10,Western Bulldogs,Adelaide,Etihad Stadium,83,92,,12,11,13,14, 2.37 , 1.58 ,12
26-Apr-14,19:40,Melbourne,Sydney,MCG,38,69,,5,8,9,15, 7.09 , 1.09 ,14
26-Apr-14,16:40,Carlton,West Coast,Etihad Stadium,92,89,,14,8,12,17, 2.03 , 1.76 ,14
26-Apr-14,13:40,Gold Coast,GWS Giants,Metricon Stadium,134,94,,20,14,13,16, 1.18 , 4.69 ,14
25-Apr-14,18:40,Fremantle,North Melbourne,Domain Stadium,61,74,,8,13,10,14, 1.27 , 3.74 ,14
25-Apr-14,19:45,St Kilda,Brisbane,Westpac Stadium,79,82,,11,13,12,10, 1.37 , 3.10 ,13
25-Apr-14,14:40,Collingwood,Essendon,MCG,83,60,,12,11,8,12, 1.55 , 2.42 ,14
21-Apr-14,15:20,Geelong,Hawthorn,MCG,106,87,,15,16,12,15, 2.52 , 1.52 ,12
20-Apr-14,16:40,Western Bulldogs,Carlton,Etihad Stadium,91,119,,13,13,18,11, 1.77 , 2.02 ,14
20-Apr-14,15:20,Melbourne,Gold Coast,MCG,78,86,,11,12,11,20, 3.09 , 1.37 ,14
20-Apr-14,12:40,Adelaide,GWS Giants,Adelaide Oval,137,72,,21,11,10,12, 1.12 , 6.19 ,14
19-Apr-14,19:40,Essendon,St Kilda,Etihad Stadium,65,81,,9,11,11,15, 1.11 , 6.45 ,13
19-Apr-14,17:40,West Coast,Port Adelaide,Domain Stadium,56,70,,7,14,10,10, 1.84 , 1.93 ,13
19-Apr-14,16:40,Sydney,Fremantle,SCG,92,75,,13,14,11,9, 2.40 , 1.56 ,14
19-Apr-14,13:40,Collingwood,North Melbourne,MCG,93,58,,13,15,8,10, 1.86 , 1.91 ,14
17-Apr-14,19:50,Brisbane,Richmond,Gabba,63,106,,9,9,15,16, 4.45 , 1.21 ,12
13-Apr-14,14:40,Fremantle,Essendon,Domain Stadium,113,60,,18,5,9,6, 1.86 , 1.92 ,11
13-Apr-14,15:20,St Kilda,Adelaide,Etihad Stadium,50,136,,7,8,20,16, 2.20 , 1.67 ,12
13-Apr-14,13:10,Sydney,North Melbourne,SCG,48,91,,6,12,13,13, 1.40 , 2.93 ,12
12-Apr-14,19:40,Geelong,West Coast,Simonds Stadium,107,32,,16,11,4,8, 1.16 , 5.07 ,14
12-Apr-14,19:40,Gold Coast,Hawthorn,Metricon Stadium,49,148,,7,7,23,10, 4.38 , 1.21 ,14
12-Apr-14,16:40,GWS Giants,Western Bulldogs,Manuka Oval,83,110,,12,11,17,8, 2.49 , 1.53 ,14
12-Apr-14,13:40,Port Adelaide,Brisbane,Adelaide Oval,159,46,,24,15,7,4, 1.13 , 5.83 ,14
12-Apr-14,13:45,Carlton,Melbourne,MCG,58,81,,7,16,12,9, 1.15 , 5.18 ,14
11-Apr-14,19:50,Richmond,Collingwood,MCG,72,110,,10,12,16,14, 2.63 , 1.48 ,14
06-Apr-14,19:10,Essendon,Carlton,MCG,138,57,,21,12,8,9, 1.43 , 2.81 ,14
06-Apr-14,16:10,North Melbourne,Port Adelaide,Etihad Stadium,97,90,,14,13,13,12, 2.07 , 1.74 ,11
06-Apr-14,13:10,GWS Giants,Melbourne,Spotless Stadium,79,47,,10,19,7,5, 1.32 , 3.42 ,12
05-Apr-14,19:40,Collingwood,Geelong,MCG,76,87,,11,10,12,15, 2.36 , 1.57 ,14
05-Apr-14,16:40,West Coast,St Kilda,Domain Stadium,83,58,,12,11,8,10, 1.05 , 10.78 ,11
05-Apr-14,15:40,Gold Coast,Brisbane,Metricon Stadium,114,61,,17,12,9,7, 1.70 , 2.12 ,14
05-Apr-14,13:40,Adelaide,Sydney,Adelaide Oval,71,134,,9,17,21,8, 1.99 , 1.78 ,13
05-Apr-14,13:45,Western Bulldogs,Richmond,Etihad Stadium,100,98,,15,10,15,8, 2.99 , 1.39 ,14
04-Apr-14,19:50,Hawthorn,Fremantle,MCG,137,79,,21,11,11,13, 1.65 , 2.19 ,14
30-Mar-14,16:40,Western Bulldogs,North Melbourne,Etihad Stadium,54,83,,8,6,12,11, 3.21 , 1.35 ,13
30-Mar-14,15:20,Melbourne,West Coast,MCG,30,123,,4,6,18,15, 8.29 , 1.08 ,13
30-Mar-14,12:10,Brisbane,Geelong,Gabba,68,93,,10,8,13,15, 3.60 , 1.29 ,13
29-Mar-14,16:40,Fremantle,Gold Coast,Domain Stadium,87,39,,12,15,5,9, 1.08 , 7.62 ,13
29-Mar-14,19:40,Sydney,Collingwood,ANZ Stadium,69,89,,10,9,12,17, 1.43 , 2.81 ,13
29-Mar-14,16:15,Port Adelaide,Adelaide,Adelaide Oval,127,73,,19,13,11,7, 1.69 , 2.12 ,13
29-Mar-14,13:40,St Kilda,GWS Giants,Etihad Stadium,95,88,,15,5,13,10, 1.73 , 2.07 ,12
28-Mar-14,19:50,Essendon,Hawthorn,Etihad Stadium,86,90,,12,14,13,12, 2.67 , 1.46 ,13
27-Mar-14,19:45,Richmond,Carlton,MCG,98,86,,14,14,12,14, 1.53 , 2.47 ,13
23-Mar-14,16:40,West Coast,Western Bulldogs,Domain Stadium,134,69,,21,8,11,3, 1.20 , 4.57 ,13
22-Mar-14,19:40,St Kilda,Melbourne,Etihad Stadium,68,51,,10,8,6,15, 2.20 , 1.66 ,12
22-Mar-14,16:40,Hawthorn,Brisbane,University of Tasmania Stadium,139,91,,21,13,13,13, 1.07 , 8.28 ,13
21-Mar-14,19:50,North Melbourne,Essendon,Etihad Stadium,60,99,,9,6,15,9, 1.45 , 2.69 ,13
20-Mar-14,19:10,Geelong,Adelaide,Simonds Stadium,119,81,,18,11,12,9, 1.33 , 3.29 ,11
16-Mar-14,19:40,Carlton,Port Adelaide,Etihad Stadium,87,120,,12,15,18,12, 1.62 , 2.24 ,13
15-Mar-14,18:55,Gold Coast,Richmond,Metricon Stadium,87,69,,12,15,10,9, 2.66 , 1.47 ,13
15-Mar-14,16:40,GWS Giants,Sydney,Spotless Stadium,99,67,,15,9,9,13, 10.17 , 1.05 ,13
14-Mar-14,19:50,Collingwood,Fremantle,Etihad Stadium,46,116,,5,16,17,14, 2.31 , 1.60 ,13
28-Sep-13,14:30,Hawthorn,Fremantle,MCG,77,62,Y,11,11,8,14, 1.61 , 2.31 ,16
21-Sep-13,17:45,Fremantle,Sydney,Domain Stadium,99,74,Y,14,15,11,8, 1.29 , 3.60 ,16
20-Sep-13,19:50,Hawthorn,Geelong,MCG,102,97,Y,14,18,15,7, 1.38 , 3.02 ,16
14-Sep-13,19:45,Sydney,Carlton,ANZ Stadium,86,62,Y,13,8,8,14, 1.35 , 3.19 ,13
13-Sep-13,19:50,Geelong,Port Adelaide,MCG,96,80,Y,13,18,12,8, 1.21 , 4.38 ,13
08-Sep-13,15:20,Richmond,Carlton,MCG,96,116,Y,14,12,18,8, 1.47 , 2.67 ,13
07-Sep-13,19:45,Collingwood,Port Adelaide,MCG,63,87,Y,9,9,12,15, 1.21 , 4.43 ,13
07-Sep-13,14:20,Geelong,Fremantle,Simonds Stadium,72,87,Y,9,18,12,15, 1.34 , 3.29 ,13
06-Sep-13,19:50,Hawthorn,Sydney,MCG,105,51,Y,15,15,7,9, 1.57 , 2.38 ,13
01-Sep-13,16:40,Western Bulldogs,Melbourne,Etihad Stadium,107,87,,16,11,13,9, 1.08 , 7.84 ,13
01-Sep-13,15:20,Collingwood,North Melbourne,MCG,114,125,,17,12,19,11, 1.62 , 2.27 ,13
01-Sep-13,13:10,Gold Coast,GWS Giants,Metricon Stadium,146,63,,22,14,9,9, 1.09 , 7.35 ,13
31-Aug-13,18:10,West Coast,Adelaide,Domain Stadium,43,129,,5,13,19,15, 1.87 , 1.90 ,13
31-Aug-13,19:40,Essendon,Richmond,MCG,65,104,,9,11,15,14, 2.86 , 1.42 ,13
31-Aug-13,16:10,Port Adelaide,Carlton,AAMI Stadium,103,104,,15,13,15,14, 1.88 , 1.87 ,13
31-Aug-13,14:10,Geelong,Brisbane,Simonds Stadium,112,111,,15,22,17,9, 1.04 , 10.44 ,13
31-Aug-13,13:45,St Kilda,Fremantle,Etihad Stadium,112,41,,16,16,6,5, 1.83 , 2.10 ,12
30-Aug-13,19:50,Sydney,Hawthorn,ANZ Stadium,100,112,,16,4,17,10, 3.02 , 1.38 ,13
25-Aug-13,16:40,Brisbane,Western Bulldogs,Gabba,100,93,,15,10,13,15, 1.54 , 2.44 ,12
25-Aug-13,15:20,GWS Giants,Richmond,Spotless Stadium,42,163,,6,6,25,13, 16.89 , 1.01 ,12
25-Aug-13,13:10,St Kilda,Gold Coast,Etihad Stadium,116,70,,17,14,10,10, 1.74 , 2.06 ,12
24-Aug-13,19:40,Carlton,Essendon,MCG,76,82,,9,22,12,10, 1.41 , 2.86 ,12
24-Aug-13,17:40,Fremantle,Port Adelaide,Domain Stadium,134,60,,21,8,9,6, 1.16 , 5.17 ,12
24-Aug-13,16:40,Geelong,Sydney,Simonds Stadium,92,48,,13,14,7,6, 1.46 , 2.71 ,12
24-Aug-13,14:10,North Melbourne,Hawthorn,Etihad Stadium,103,117,,15,13,17,15, 3.28 , 1.34 ,12
24-Aug-13,13:15,Adelaide,Melbourne,AAMI Stadium,120,52,,18,12,7,10, 1.02 , 15.50 ,12
23-Aug-13,19:50,Collingwood,West Coast,MCG,101,39,,15,11,5,9, 1.13 , 5.87 ,12
18-Aug-13,16:40,Western Bulldogs,Adelaide,Etihad Stadium,131,114,,20,11,17,12, 2.08 , 1.72 ,12
18-Aug-13,15:20,Sydney,St Kilda,SCG,118,59,,18,10,8,11, 1.02 , 14.85 ,12
18-Aug-13,13:10,Melbourne,Fremantle,MCG,38,133,,5,8,20,13, 16.10 , 1.02 ,12
17-Aug-13,19:40,Brisbane,GWS Giants,Gabba,123,63,,18,15,9,9, 1.03 , 12.64 ,11
17-Aug-13,17:40,West Coast,Geelong,Domain Stadium,41,107,,6,5,16,11, 2.65 , 1.48 ,12
17-Aug-13,16:40,Essendon,North Melbourne,Etihad Stadium,70,115,,9,16,17,13, 2.73 , 1.45 ,12
17-Aug-13,13:40,Port Adelaide,Gold Coast,AAMI Stadium,113,96,,16,17,14,12, 1.20 , 4.56 ,12
17-Aug-13,13:45,Richmond,Carlton,MCG,96,106,,14,12,16,10, 1.30 , 3.52 ,12
16-Aug-13,19:50,Hawthorn,Collingwood,MCG,119,84,,18,11,12,12, 1.53 , 2.48 ,12
11-Aug-13,14:40,Fremantle,GWS Giants,Domain Stadium,157,44,,24,13,6,8, 1.01 , 18.91 ,12
11-Aug-13,14:50,Adelaide,North Melbourne,AAMI Stadium,79,70,,11,13,10,10, 2.04 , 1.75 ,13
11-Aug-13,13:10,Essendon,West Coast,Etihad Stadium,67,120,,9,13,18,12, 1.42 , 2.86 ,13
10-Aug-13,19:40,Gold Coast,Melbourne,Metricon Stadium,90,77,,13,12,10,17, 1.12 , 6.41 ,13
10-Aug-13,19:40,Sydney,Collingwood,ANZ Stadium,71,100,,10,11,14,16, 1.41 , 2.86 ,13
10-Aug-13,16:40,Carlton,Western Bulldogs,Etihad Stadium,89,117,,13,11,16,21, 1.34 , 3.26 ,13
10-Aug-13,14:10,Geelong,Port Adelaide,Simonds Stadium,129,104,,20,9,16,8, 1.11 , 6.53 ,13
10-Aug-13,13:45,Richmond,Brisbane,MCG,97,74,,14,13,11,8, 1.16 , 5.05 ,13
09-Aug-13,19:50,St Kilda,Hawthorn,Etihad Stadium,56,102,,7,14,14,18, 11.36 , 1.04 ,13
04-Aug-13,16:40,Collingwood,Essendon,MCG,133,54,,20,13,7,12, 1.86 , 1.92 ,13
04-Aug-13,14:50,Adelaide,Port Adelaide,AAMI Stadium,103,107,,15,13,17,5, 2.01 , 1.78 ,13
04-Aug-13,13:10,Western Bulldogs,Sydney,Etihad Stadium,99,134,,15,9,21,8, 7.73 , 1.08 ,13
03-Aug-13,19:40,Brisbane,St Kilda,Gabba,108,77,,16,12,11,11, 1.26 , 3.84 ,13
03-Aug-13,19:40,Carlton,Fremantle,Etihad Stadium,80,116,,12,8,17,14, 1.83 , 1.95 ,13
03-Aug-13,14:40,West Coast,Gold Coast,Domain Stadium,130,113,,20,10,17,11, 1.44 , 2.77 ,13
03-Aug-13,14:10,Hawthorn,Richmond,MCG,66,107,,9,12,16,11, 1.21 , 4.32 ,13
03-Aug-13,13:45,GWS Giants,Melbourne,Spotless Stadium,124,87,,19,10,12,15, 1.65 , 2.20 ,13
02-Aug-13,19:50,North Melbourne,Geelong,Etihad Stadium,96,86,,15,6,13,8, 3.35 , 1.32 ,13
28-Jul-13,16:40,Sydney,Richmond,SCG,110,63,,16,14,9,9, 1.27 , 3.68 ,12
28-Jul-13,15:20,Western Bulldogs,West Coast,Etihad Stadium,111,89,,16,15,13,11, 2.50 , 1.52 ,12
28-Jul-13,12:40,Port Adelaide,Brisbane,AAMI Stadium,71,62,,9,17,9,8, 1.38 , 3.00 ,12
27-Jul-13,17:40,Fremantle,Adelaide,Domain Stadium,75,53,,11,9,7,11, 1.25 , 3.87 ,12
27-Jul-13,19:40,Geelong,St Kilda,Simonds Stadium,137,36,,21,11,5,6, 1.07 , 8.27 ,12
27-Jul-13,16:40,Collingwood,GWS Giants,MCG,106,66,,15,16,10,6, 1.01 , 21.45 ,11
27-Jul-13,14:10,Melbourne,North Melbourne,Etihad Stadium,28,150,,4,4,22,18, 13.31 , 1.03 ,12
27-Jul-13,13:45,Gold Coast,Carlton,Metricon Stadium,77,120,,11,11,16,24, 2.82 , 1.42 ,12
26-Jul-13,19:50,Essendon,Hawthorn,Etihad Stadium,87,143,,13,9,22,11, 3.33 , 1.32 ,12
21-Jul-13,14:40,West Coast,Sydney,Domain Stadium,79,113,,11,13,17,11, 2.58 , 1.49 ,12
21-Jul-13,14:50,Adelaide,Geelong,AAMI Stadium,94,92,,14,10,14,8, 4.36 , 1.21 ,12
21-Jul-13,13:10,Richmond,Fremantle,MCG,84,57,,12,12,8,9, 1.70 , 2.11 ,12
20-Jul-13,19:10,Melbourne,Brisbane,TIO Stadium,75,94,,11,9,13,16, 3.96 , 1.25 ,12
20-Jul-13,19:40,St Kilda,Port Adelaide,Etihad Stadium,92,97,,13,14,14,13, 2.03 , 1.77 ,12
20-Jul-13,16:40,Gold Coast,Collingwood,Metricon Stadium,85,78,,13,7,11,12, 4.83 , 1.18 ,12
20-Jul-13,14:10,GWS Giants,Essendon,Spotless Stadium,77,116,,11,11,18,8, 17.22 , 1.01 ,12
20-Jul-13,13:45,Hawthorn,Western Bulldogs,University of Tasmania Stadium,95,76,,13,17,11,10, 1.01 , 14.85 ,12
19-Jul-13,19:50,North Melbourne,Carlton,Etihad Stadium,108,109,,16,12,16,13, 1.65 , 2.21 ,12
14-Jul-13,14:40,West Coast,Fremantle,Domain Stadium,93,121,,14,9,19,7, 2.83 , 1.42 ,12
14-Jul-13,15:20,Western Bulldogs,Essendon,Etihad Stadium,90,121,,14,6,18,13, 7.25 , 1.09 ,12
14-Jul-13,13:10,Sydney,GWS Giants,SCG,171,42,,24,27,5,12, 1.01 , 19.92 ,11
13-Jul-13,19:40,Brisbane,North Melbourne,Gabba,117,105,,18,9,17,3, 2.82 , 1.43 ,12
13-Jul-13,19:40,Carlton,St Kilda,Etihad Stadium,110,74,,16,14,10,14, 1.36 , 3.12 ,12
13-Jul-13,16:40,Richmond,Gold Coast,Cazaly’s Stadium,53,44,,6,17,6,8, 1.23 , 4.10 ,12
13-Jul-13,14:10,Geelong,Melbourne,Simonds Stadium,98,30,,13,20,4,6, 1.01 , 17.58 ,11
13-Jul-13,13:15,Port Adelaide,Hawthorn,AAMI Stadium,79,124,,12,7,19,10, 3.29 , 1.33 ,12
12-Jul-13,19:50,Collingwood,Adelaide,MCG,111,84,,17,9,12,12, 1.18 , 4.81 ,12
07-Jul-13,16:40,Essendon,Port Adelaide,Etihad Stadium,118,88,,18,10,12,16, 1.31 , 3.38 ,13
07-Jul-13,13:20,Fremantle,St Kilda,Domain Stadium,100,70,,15,10,11,4, 1.03 , 11.92 ,13
07-Jul-13,13:10,Melbourne,Sydney,MCG,85,116,,13,7,16,20, 14.84 , 1.02 ,13
06-Jul-13,19:10,Adelaide,West Coast,AAMI Stadium,69,75,,9,15,11,9, 1.59 , 2.33 ,13
06-Jul-13,19:40,Geelong,Hawthorn,MCG,82,72,,11,16,10,12, 2.25 , 1.63 ,13
06-Jul-13,16:40,Brisbane,Gold Coast,Gabba,116,83,,17,14,12,11, 1.29 , 3.63 ,13
06-Jul-13,14:10,North Melbourne,Richmond,Etihad Stadium,128,66,,19,14,8,18, 2.65 , 1.47 ,13
06-Jul-13,13:45,GWS Giants,Western Bulldogs,Manuka Oval,83,87,,12,11,13,9, 4.31 , 1.21 ,13
05-Jul-13,19:50,Carlton,Collingwood,MCG,77,118,,12,5,17,16, 1.62 , 2.27 ,13
30-Jun-13,16:40,Richmond,St Kilda,MCG,119,55,,17,17,8,7, 1.19 , 4.61 ,13
30-Jun-13,15:20,North Melbourne,GWS Giants,Etihad Stadium,130,44,,19,16,6,8, 1.01 , 18.75 ,13
30-Jun-13,13:10,Hawthorn,Brisbane,University of Tasmania Stadium,143,85,,21,17,12,13, 1.06 , 8.84 ,13
29-Jun-13,19:40,Geelong,Fremantle,Simonds Stadium,85,44,,11,19,7,2, 1.37 , 3.08 ,13
29-Jun-13,19:40,Melbourne,Western Bulldogs,MCG,103,100,,15,13,15,10, 4.29 , 1.22 ,13
29-Jun-13,16:10,Port Adelaide,Collingwood,AAMI Stadium,86,51,,13,8,7,9, 2.96 , 1.39 ,13
29-Jun-13,13:40,Gold Coast,Adelaide,Metricon Stadium,83,111,,11,17,16,15, 2.35 , 1.58 ,13
28-Jun-13,19:50,Sydney,Carlton,SCG,65,43,,8,17,5,13, 1.40 , 2.93 ,13
27-Jun-13,18:10,West Coast,Essendon,Domain Stadium,91,98,,13,13,15,8, 2.08 , 1.73 ,13
23-Jun-13,16:40,Brisbane,Geelong,Gabba,103,98,,15,13,14,14, 5.58 , 1.14 ,13
23-Jun-13,13:20,Fremantle,North Melbourne,Domain Stadium,67,29,,10,7,4,5, 1.32 , 3.35 ,13
22-Jun-13,19:40,Western Bulldogs,Richmond,Etihad Stadium,61,121,,8,13,17,19, 6.65 , 1.11 ,13
22-Jun-13,16:40,St Kilda,Melbourne,MCG,104,69,,16,8,10,9, 1.11 , 6.47 ,13
